Channel 1,Channel 2,Channel 3
-9.840169,0.028730,-0.035913
-9.840169,0.050278,-0.057461
-9.876082,0.129287,0.028730
-9.775525,0.086191,-0.035913
-9.876082,0.043096,-0.172383
-9.940725,-0.014365,0.014365
-9.840169,-0.057461,-0.136469
-9.926360,0.086191,-0.035913
-9.904813,0.064643,0.028730
-9.904813,0.000000,0.014365
-9.797073,0.021548,-0.035913
-9.804255,0.064643,-0.193930
-9.854534,0.071826,0.007183
-9.897630,0.043096,0.057461
-9.890448,0.014365,-0.014365
-9.832987,0.021548,0.014365
-9.876082,0.071826,-0.021548
-9.847352,0.064643,-0.064643
-9.883265,0.021548,-0.035913
-9.854534,0.007183,-0.035913
-9.840169,0.064643,-0.086191
-9.883265,0.122104,-0.100556
-9.861717,0.050278,-0.107739
-9.868899,0.028730,-0.086191
-9.883265,0.071826,-0.129287
-9.890448,0.064643,-0.129287
-9.883265,0.114922,-0.093374
-9.832987,0.028730,-0.035913
-9.847352,0.021548,0.014365
-9.832987,-0.014365,-0.071826
-9.832987,0.028730,-0.086191
-9.854534,0.086191,-0.107739
-9.868899,0.028730,0.007183
-9.804255,-0.007183,-0.057461
-9.761160,-0.014365,-0.114922
-9.789890,0.079009,-0.114922
-9.868899,0.064643,-0.158017
-9.832987,0.071826,-0.093374
-9.797073,0.021548,-0.071826
-9.868899,0.028730,-0.093374
-9.854534,-0.014365,0.028730
-9.797073,0.000000,-0.086191
-9.840169,0.007183,-0.007183
-9.876082,0.000000,-0.172383
-9.789890,-0.028730,-0.071826
-9.825804,0.071826,-0.057461
-9.818622,0.114922,-0.129287
-9.797073,0.086191,-0.014365
-9.811439,0.122104,-0.143652
-9.840169,0.064643,-0.050278
-9.761160,0.093374,0.057461
-9.832987,0.071826,0.043096
-9.854534,0.107739,-0.122104
-9.804255,0.021548,-0.050278
-9.861717,0.021548,-0.050278
-9.840169,0.007183,0.028730
-9.876082,0.014365,-0.021548
-9.804255,0.007183,-0.129287
-9.797073,0.057461,0.035913
-9.832987,-0.035913,-0.071826
-9.811439,0.050278,-0.129287
-9.897630,0.100556,-0.035913
-9.897630,0.021548,0.021548
-9.890448,-0.007183,-0.028730
-9.811439,0.050278,-0.079009
-9.904813,0.043096,0.064643
-9.804255,-0.014365,0.014365
-9.861717,0.014365,-0.035913
-9.847352,0.064643,0.043096
-9.746795,0.050278,-0.057461
-9.804255,0.086191,-0.028730
-9.847352,0.043096,-0.014365
-9.797073,0.043096,-0.093374
-9.789890,0.000000,-0.050278
-9.768343,0.079009,-0.079009
-9.868899,0.014365,-0.222661
-9.811439,0.071826,-0.079009
-9.818622,0.079009,-0.100556
-9.904813,0.007183,-0.057461
-9.818622,-0.007183,-0.122104
-9.825804,0.000000,0.014365
-9.854534,0.071826,-0.150835
-9.832987,0.000000,-0.043096
-9.832987,0.100556,-0.050278
-9.811439,0.129287,-0.043096
-9.811439,0.093374,-0.079009
-9.840169,0.093374,-0.057461
-9.811439,0.035913,-0.114922
-9.811439,0.064643,-0.064643
-9.825804,0.057461,-0.035913
-9.876082,0.050278,-0.100556
-9.911995,0.000000,-0.129287
-9.847352,0.021548,-0.129287
-9.818622,0.086191,-0.150835
-9.868899,0.057461,-0.158017
-9.818622,0.050278,-0.165200
-9.832987,0.093374,0.028730
-9.868899,0.150835,-0.079009
-9.861717,0.143652,-0.093374
-9.782708,0.107739,-0.050278
-9.825804,0.043096,-0.093374
-9.883265,-0.014365,-0.208296
-9.876082,-0.014365,-0.150835
-9.746795,0.043096,0.007183
-9.804255,0.007183,0.014365
-9.847352,0.057461,-0.035913
-9.804255,0.035913,-0.079009
-9.840169,0.021548,-0.086191
-9.818622,0.035913,-0.079009
-9.919178,-0.079009,-0.165200
-9.933543,0.079009,-0.064643
-9.897630,0.093374,-0.071826
-9.768343,0.071826,0.028730
-9.797073,-0.014365,-0.114922
-9.904813,0.050278,-0.043096
-9.876082,0.043096,-0.050278
-9.876082,0.028730,-0.150835
-9.897630,0.057461,-0.172383
-9.840169,0.000000,-0.093374
-9.797073,0.071826,-0.107739
-9.811439,0.093374,-0.093374
-9.840169,0.071826,-0.014365
-9.890448,0.021548,-0.136469
-9.854534,0.079009,-0.064643
-9.797073,0.028730,-0.071826
-9.861717,0.021548,-0.043096
-9.832987,0.043096,-0.086191
-9.840169,0.086191,-0.021548
-9.825804,0.014365,-0.028730
-9.883265,-0.021548,-0.079009
-9.933543,0.050278,-0.100556
-9.861717,0.057461,-0.035913
-9.861717,0.014365,-0.050278
-9.861717,0.079009,-0.021548
-9.797073,0.000000,-0.086191
-9.883265,0.007183,-0.086191
-9.840169,0.043096,-0.129287
-9.876082,0.050278,-0.057461
-9.890448,0.014365,-0.107739
-9.825804,0.093374,-0.071826
-9.854534,0.086191,-0.007183
-9.883265,0.093374,-0.057461
-9.854534,0.064643,-0.143652
-9.876082,0.057461,-0.122104
-9.825804,-0.028730,-0.136469
