Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
-0.395043,-0.014365,9.639056,0.008522,0.000000,-0.005326
-0.387861,0.021548,9.811439,0.003196,-0.002131,0.003196
-0.438139,0.021548,9.732430,0.001065,-0.006392,0.000000
-0.344765,0.079009,9.797073,0.004261,-0.006392,-0.006392
-0.373495,0.043096,9.789890,0.007457,-0.005326,-0.006392
-0.459687,0.043096,9.703699,0.010653,-0.007457,0.003196
-0.409408,-0.028730,9.775525,0.005326,-0.006392,0.013849
-0.430956,-0.014365,9.660604,0.001065,-0.002131,0.006392
-0.359130,-0.035913,9.775525,0.006392,-0.007457,-0.009588
-0.359130,-0.035913,9.775525,0.007457,-0.006392,-0.008522
-0.409408,-0.057461,9.660604,-0.001065,0.007457,0.001065
-0.466869,-0.014365,9.775525,0.002131,0.001065,-0.002131
-0.409408,0.043096,9.746795,0.005326,0.000000,-0.005326
-0.423774,-0.043096,9.840169,0.003196,0.000000,0.000000
-0.430956,0.014365,9.768343,0.004261,0.000000,0.003196
-0.416591,0.028730,9.725247,0.001065,-0.001065,0.006392
-0.402226,-0.014365,9.761160,0.005326,-0.008522,-0.001065
-0.438139,0.050278,9.739613,0.006392,-0.002131,-0.005326
-0.351948,0.007183,9.775525,0.006392,-0.002131,-0.004261
-0.438139,-0.028730,9.775525,0.004261,0.001065,0.006392
-0.430956,0.000000,9.768343,0.002131,0.003196,0.001065
-0.423774,0.079009,9.753978,-0.003196,-0.001065,-0.001065
-0.409408,0.093374,9.696517,0.006392,-0.002131,-0.001065
-0.344765,-0.057461,9.746795,0.001065,-0.008522,0.001065
-0.416591,-0.014365,9.689334,0.000000,-0.002131,0.005326
-0.409408,0.086191,9.768343,0.006392,0.000000,-0.008522
-0.416591,0.043096,9.710882,0.008522,-0.001065,-0.003196
-0.466869,0.000000,9.753978,0.001065,-0.003196,0.007457
-0.430956,-0.014365,9.696517,0.006392,-0.004261,0.008522
-0.344765,0.035913,9.725247,0.004261,-0.007457,0.000000
-0.373495,0.050278,9.753978,0.006392,-0.005326,-0.006392
-0.452504,0.007183,9.739613,0.001065,-0.003196,-0.003196
-0.323217,-0.028730,9.768343,0.000000,0.001065,0.010653
-0.402226,-0.043096,9.761160,0.003196,-0.003196,-0.003196
-0.359130,0.021548,9.667787,0.000000,-0.003196,-0.004261
-0.344765,0.057461,9.768343,0.005326,-0.002131,0.002131
-0.402226,0.000000,9.775525,0.005326,0.003196,0.000000
-0.373495,-0.007183,9.746795,0.003196,-0.005326,-0.002131
-0.402226,-0.014365,9.753978,0.004261,-0.009588,-0.004261
-0.330400,-0.035913,9.725247,-0.002131,-0.002131,-0.003196
-0.416591,0.093374,9.660604,0.004261,0.000000,-0.003196
-0.308852,-0.050278,9.818622,0.006392,-0.001065,-0.001065
-0.387861,0.021548,9.718064,0.001065,0.000000,0.003196
-0.395043,0.050278,9.725247,0.002131,-0.009588,-0.007457
-0.395043,0.007183,9.682152,0.000000,-0.009588,-0.006392
-0.416591,0.014365,9.710882,0.005326,-0.007457,0.005326
-0.402226,0.028730,9.732430,0.007457,-0.007457,0.003196
-0.387861,0.028730,9.718064,0.006392,-0.006392,0.005326
-0.438139,0.057461,9.746795,0.000000,0.003196,0.005326
-0.395043,0.043096,9.725247,0.005326,0.001065,0.003196
-0.438139,0.079009,9.811439,0.008522,0.001065,-0.001065
-0.373495,0.014365,9.746795,0.006392,0.001065,-0.004261
-0.409408,-0.100556,9.818622,0.002131,-0.003196,0.001065
-0.445322,-0.043096,9.646238,0.004261,-0.009588,-0.006392
-0.445322,0.014365,9.847352,0.008522,-0.008522,-0.001065
-0.395043,0.014365,9.775525,0.003196,-0.007457,0.001065
-0.287304,-0.043096,9.689334,0.002131,-0.003196,0.000000
-0.344765,0.007183,9.782708,0.006392,-0.003196,0.005326
-0.344765,-0.021548,9.624691,0.006392,-0.004261,0.004261
-0.409408,-0.064643,9.653421,0.004261,0.001065,-0.003196
-0.308852,0.028730,9.732430,0.006392,0.000000,-0.008522
-0.438139,0.035913,9.667787,0.007457,0.001065,-0.003196
-0.459687,0.028730,9.732430,0.007457,0.001065,-0.002131
-0.316035,0.028730,9.732430,0.009588,-0.003196,0.004261
-0.373495,-0.021548,9.732430,0.004261,0.000000,0.003196
-0.402226,-0.028730,9.775525,0.005326,-0.002131,-0.004261
-0.402226,0.071826,9.631873,0.003196,-0.005326,-0.010653
-0.416591,0.021548,9.818622,0.001065,-0.007457,-0.004261
-0.416591,0.000000,9.847352,0.001065,-0.004261,0.006392
-0.423774,0.000000,9.768343,0.001065,-0.002131,-0.009588
-0.430956,-0.043096,9.782708,0.011718,0.000000,-0.004261
-0.373495,0.007183,9.797073,0.006392,-0.005326,-0.003196
-0.459687,0.057461,9.789890,0.001065,-0.006392,-0.001065
-0.430956,0.035913,9.703699,0.001065,-0.001065,0.001065
-0.359130,-0.021548,9.696517,0.001065,-0.003196,-0.002131
-0.409408,0.007183,9.832987,0.005326,0.002131,-0.007457
-0.337582,0.000000,9.718064,0.006392,-0.004261,0.000000
-0.373495,0.021548,9.768343,0.004261,-0.012784,0.000000
-0.438139,0.021548,9.710882,0.006392,-0.004261,-0.001065
-0.387861,-0.028730,9.775525,0.004261,-0.003196,0.003196
-0.373495,-0.050278,9.703699,0.004261,0.000000,0.000000
-0.366313,0.043096,9.732430,0.007457,-0.004261,-0.001065
-0.452504,0.064643,9.746795,0.005326,-0.007457,-0.004261
-0.452504,0.064643,9.718064,-0.001065,0.002131,-0.006392
-0.409408,0.035913,9.775525,0.000000,0.000000,0.002131
-0.387861,0.035913,9.732430,0.005326,-0.007457,0.004261
-0.423774,0.014365,9.739613,0.005326,-0.006392,0.001065
-0.402226,0.064643,9.739613,0.003196,-0.002131,-0.004261
-0.416591,-0.071826,9.753978,0.010653,0.002131,0.002131
-0.359130,0.028730,9.775525,0.005326,-0.002131,0.001065
-0.481235,0.079009,9.753978,0.000000,-0.005326,-0.002131
-0.416591,-0.021548,9.761160,0.003196,-0.002131,-0.009588
-0.366313,0.100556,9.804255,0.001065,-0.004261,-0.002131
-0.373495,0.007183,9.761160,0.002131,-0.003196,0.002131
-0.366313,-0.028730,9.775525,0.006392,-0.003196,-0.006392
-0.330400,0.021548,9.639056,0.004261,0.004261,0.002131
-0.409408,0.000000,9.667787,0.004261,-0.003196,-0.001065
-0.351948,-0.043096,9.825804,0.000000,0.003196,0.008522
-0.395043,-0.021548,9.653421,0.002131,0.003196,-0.004261
-0.459687,0.064643,9.746795,0.003196,-0.008522,-0.007457
-0.438139,-0.043096,9.710882,0.004261,-0.001065,0.002131
-0.387861,-0.007183,9.739613,0.000000,0.000000,0.002131
-0.466869,0.014365,9.775525,0.008522,-0.006392,-0.004261
-0.402226,-0.021548,9.761160,0.012784,0.002131,0.007457
-0.430956,0.050278,9.761160,0.009588,0.000000,0.000000
-0.466869,0.014365,9.746795,0.002131,-0.001065,-0.004261
-0.423774,0.035913,9.624691,0.001065,-0.005326,-0.002131
-0.438139,0.050278,9.768343,0.001065,0.002131,-0.002131
-0.438139,0.035913,9.739613,0.007457,-0.004261,0.002131
-0.395043,0.043096,9.689334,0.002131,-0.004261,0.004261
-0.359130,0.114922,9.768343,0.005326,-0.004261,0.002131
-0.402226,-0.035913,9.710882,0.008522,-0.007457,-0.005326
-0.423774,0.000000,9.761160,0.006392,0.000000,-0.004261
-0.344765,0.000000,9.811439,0.002131,0.003196,-0.001065
-0.409408,-0.014365,9.739613,-0.003196,0.000000,0.008522
-0.380678,0.028730,9.725247,0.003196,-0.005326,0.002131
-0.423774,0.043096,9.718064,0.007457,-0.004261,-0.006392
-0.409408,0.064643,9.797073,-0.004261,-0.007457,0.001065
-0.423774,-0.057461,9.782708,0.005326,-0.005326,-0.005326
-0.423774,0.007183,9.703699,0.010653,0.004261,-0.005326
-0.387861,0.079009,9.775525,0.001065,0.002131,-0.002131
-0.459687,0.014365,9.797073,0.005326,-0.005326,0.002131
-0.373495,0.028730,9.725247,0.006392,0.001065,-0.008522
-0.430956,0.035913,9.746795,0.004261,0.004261,0.004261
-0.438139,0.014365,9.761160,0.007457,-0.004261,0.001065
-0.402226,0.093374,9.804255,0.009588,-0.007457,-0.001065
