Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
-0.017149,-0.066793,-9.631629,-0.006134,-0.003058,-0.004333,-588.603882,-329.264648,981.908203
0.040112,0.011941,-9.602999,-0.001773,-0.004023,0.000028,-588.603882,-329.264648,981.908203
0.118845,-0.059635,-9.688890,0.002588,-0.001792,0.002059,-588.603882,-329.264648,981.908203
0.040112,-0.095423,-9.638787,-0.000708,-0.000627,0.001959,-588.603882,-329.264648,981.908203
-0.009991,-0.131211,-9.617313,-0.004869,0.002669,-0.001337,-588.603882,-329.264648,981.908203
0.032954,-0.131211,-9.595841,-0.003704,0.002569,-0.004433,-588.603882,-329.264648,981.908203
0.068742,-0.045320,-9.517108,-0.001473,0.000338,-0.005398,-588.603882,-329.264648,981.908203
0.047269,-0.081108,-9.567211,0.000758,-0.001892,-0.005298,-588.603882,-329.264648,981.908203
0.025797,-0.138368,-9.574368,-0.000408,-0.002858,0.000128,-593.088684,-326.194000,974.479553
0.061584,-0.124053,-9.574368,-0.000308,-0.001692,0.000028,-593.088684,-326.194000,974.479553
0.075900,-0.073950,-9.674574,-0.000208,0.001604,0.004189,-593.088684,-326.194000,974.479553
0.011482,-0.016690,-9.610157,0.000958,0.002569,0.003024,-593.088684,-326.194000,974.479553
0.040112,-0.059635,-9.653102,0.000858,0.002469,0.002924,-593.088684,-326.194000,974.479553
-0.052936,-0.109738,-9.660259,-0.000308,0.002369,0.000694,-593.088684,-326.194000,974.479553
0.004324,-0.138368,-9.560054,-0.003404,0.003334,-0.000472,-593.088684,-326.194000,974.479553
-0.017149,-0.102580,-9.545738,-0.001173,0.005365,0.001759,-593.088684,-326.194000,974.479553
0.011482,-0.045320,-9.610157,0.002123,0.003134,0.008051,-593.088684,-326.194000,974.479553
0.083057,-0.131211,-9.602999,0.007349,0.000904,0.009016,-593.088684,-326.194000,974.479553
0.040112,-0.031005,-9.552896,0.006184,-0.003458,0.009981,-585.428467,-330.805603,972.880188
0.004324,-0.059635,-9.574368,0.003954,-0.006554,0.002424,-585.428467,-330.805603,972.880188
0.090215,-0.145526,-9.645944,0.002788,-0.008584,-0.000872,-585.428467,-330.805603,972.880188
0.097372,-0.124053,-9.710362,0.002688,-0.006354,-0.005033,-585.428467,-330.805603,972.880188
0.018639,-0.081108,-9.631629,-0.001673,0.000138,-0.003868,-585.428467,-330.805603,972.880188
0.040112,-0.102580,-9.560054,-0.004769,0.003234,-0.001637,-585.428467,-330.805603,972.880188
0.054427,-0.066793,-9.581527,-0.006799,0.005265,0.000594,-585.428467,-330.805603,972.880188
0.004324,0.011941,-9.681732,-0.003504,0.001969,0.000494,-585.428467,-330.805603,972.880188
0.004324,-0.102580,-9.638787,-0.001273,0.000804,-0.000672,-585.428467,-330.805603,972.880188
0.032954,-0.088265,-9.631629,0.000958,-0.003558,-0.004833,-585.428467,-330.805603,972.880188
0.075900,-0.152683,-9.688890,-0.000208,-0.000262,-0.002602,-588.602234,-320.307159,969.919495
0.004324,-0.124053,-9.710362,0.002023,-0.000162,-0.004633,-588.602234,-320.307159,969.919495
0.054427,-0.038162,-9.567211,-0.000208,0.005265,-0.002402,-588.602234,-320.307159,969.919495
-0.009991,-0.052477,-9.595841,0.000958,0.003034,-0.001237,-588.602234,-320.307159,969.919495
-0.024306,-0.102580,-9.581527,-0.002338,-0.000262,0.003124,-588.602234,-320.307159,969.919495
-0.002834,-0.002374,-9.624472,-0.002238,-0.000162,0.009416,-588.602234,-320.307159,969.919495
0.054427,-0.081108,-9.667418,-0.003204,0.002069,0.010381,-588.602234,-320.307159,969.919495
0.011482,-0.102580,-9.581527,-0.002038,-0.000162,0.006020,-588.602234,-320.307159,969.919495
0.054427,-0.102580,-9.595841,0.003388,-0.001127,-0.000472,-588.602234,-320.307159,969.919495
0.011482,-0.152683,-9.617313,0.007549,-0.002092,-0.004633,-588.602234,-320.307159,969.919495
-0.009991,-0.124053,-9.617313,0.008515,0.001204,-0.001337,-600.617065,-323.069183,968.590454
-0.052936,-0.081108,-9.538581,0.004154,0.002169,-0.002302,-600.617065,-323.069183,968.590454
-0.045779,-0.038162,-9.624472,0.002988,-0.001127,-0.002202,-600.617065,-323.069183,968.590454
0.047269,-0.052477,-9.688890,0.000758,-0.001027,-0.006364,-600.617065,-323.069183,968.590454
0.011482,-0.138368,-9.703205,0.001723,-0.005188,-0.003068,-600.617065,-323.069183,968.590454
-0.017149,-0.159841,-9.653102,0.000558,-0.000827,0.001294,-600.617065,-323.069183,968.590454
0.004324,-0.145526,-9.688890,0.002588,0.000338,0.002259,-600.617065,-323.069183,968.590454
-0.024306,-0.159841,-9.574368,-0.000708,0.002369,0.004289,-600.617065,-323.069183,968.590454
-0.002834,-0.023847,-9.667418,-0.001673,-0.003058,0.000994,-600.617065,-323.069183,968.590454
-0.017149,-0.116895,-9.638787,-0.005834,-0.004023,0.000894,-600.617065,-323.069183,968.590454
-0.017149,-0.073950,-9.624472,-0.003604,-0.002858,0.000794,-592.985168,-330.667938,972.984497
-0.002834,-0.109738,-9.717521,-0.000308,0.003634,0.001759,-592.985168,-330.667938,972.984497
0.054427,-0.088265,-9.667418,0.004054,0.005665,-0.000472,-592.985168,-330.667938,972.984497
0.040112,-0.131211,-9.638787,0.008215,0.007695,-0.004633,-592.985168,-330.667938,972.984497
0.011482,-0.088265,-9.588684,0.009180,0.003334,-0.006664,-592.985168,-330.667938,972.984497
-0.009991,-0.095423,-9.574368,0.010145,0.001104,-0.003368,-592.985168,-330.667938,972.984497
0.011482,-0.095423,-9.581527,0.004719,0.001004,0.002059,-592.985168,-330.667938,972.984497
0.025797,-0.102580,-9.581527,0.000358,0.006230,0.004089,-592.985168,-330.667938,972.984497
0.040112,-0.016690,-9.653102,-0.004004,0.007195,-0.003468,-592.985168,-330.667938,972.984497
-0.038621,-0.102580,-9.717521,-0.001773,0.000704,-0.004433,-592.985168,-330.667938,972.984497
0.032954,-0.095423,-9.688890,-0.001673,-0.006854,-0.004333,-583.958008,-326.356323,969.860718
0.032954,-0.045320,-9.610157,-0.002638,-0.008884,0.002159,-583.958008,-326.356323,969.860718
0.018639,-0.073950,-9.610157,-0.007865,-0.007719,0.002059,-583.958008,-326.356323,969.860718
0.032954,-0.095423,-9.602999,-0.006699,-0.002292,-0.000172,-583.958008,-326.356323,969.860718
0.040112,-0.073950,-9.602999,-0.003404,0.001004,-0.001137,-583.958008,-326.356323,969.860718
0.061584,-0.138368,-9.710362,-0.000108,0.003034,0.002159,-583.958008,-326.356323,969.860718
0.018639,-0.081108,-9.610157,0.001058,0.002934,0.008451,-583.958008,-326.356323,969.860718
0.054427,-0.088265,-9.638787,-0.000108,0.004965,0.007285,-583.958008,-326.356323,969.860718
-0.002834,-0.109738,-9.631629,0.002123,0.004865,0.001859,-583.958008,-326.356323,969.860718
0.032954,-0.088265,-9.552896,0.003088,0.002634,-0.003568,-583.958008,-326.356323,969.860718
0.025797,-0.102580,-9.638787,0.005119,-0.000662,-0.004533,-587.133362,-324.815338,978.888733
0.040112,-0.116895,-9.517108,0.002888,-0.001627,-0.007629,-587.133362,-324.815338,978.888733
0.047269,-0.188471,-9.624472,0.000658,-0.002592,-0.007529,-587.133362,-324.815338,978.888733
0.018639,-0.109738,-9.638787,-0.000508,-0.004623,-0.005298,-587.133362,-324.815338,978.888733
0.068742,-0.109738,-9.595841,-0.003604,-0.006654,-0.002002,-587.133362,-324.815338,978.888733
0.075900,-0.124053,-9.552896,-0.002438,-0.006554,0.000228,-587.133362,-324.815338,978.888733
0.011482,-0.109738,-9.602999,-0.004469,-0.000062,-0.002002,-587.133362,-324.815338,978.888733
0.011482,-0.081108,-9.653102,-0.003304,0.005365,-0.000837,-587.133362,-324.815338,978.888733
0.018639,-0.002374,-9.731835,-0.002138,0.009526,0.001394,-587.133362,-324.815338,978.888733
0.018639,0.004783,-9.703205,-0.002038,0.005165,0.001294,-587.133362,-324.815338,978.888733
0.083057,-0.073950,-9.653102,0.000192,0.002934,0.002259,-585.628723,-323.350281,977.369080
0.040112,-0.152683,-9.638787,0.001158,-0.000362,0.000028,-585.628723,-323.350281,977.369080
0.032954,-0.131211,-9.459847,0.007449,-0.002392,0.003124,-585.628723,-323.350281,977.369080
0.004324,-0.138368,-9.610157,0.008415,0.001969,0.003024,-585.628723,-323.350281,977.369080
0.047269,-0.102580,-9.660259,0.005119,-0.000262,0.000794,-585.628723,-323.350281,977.369080
0.025797,-0.088265,-9.567211,-0.001373,0.000904,-0.001437,-585.628723,-323.350281,977.369080
0.083057,-0.059635,-9.696048,-0.004469,-0.004523,-0.002402,-585.628723,-323.350281,977.369080
0.004324,-0.138368,-9.660259,-0.002238,-0.000162,-0.001237,-585.628723,-323.350281,977.369080
0.018639,-0.038162,-9.696048,-0.002138,0.001004,-0.005398,-585.628723,-323.350281,977.369080
0.004324,-0.088265,-9.624472,0.001158,0.004099,-0.009559,-585.628723,-323.350281,977.369080
-0.024306,-0.088265,-9.624472,-0.001073,0.003999,-0.011590,-587.085022,-326.306030,977.391846
-0.045779,-0.009532,-9.645944,-0.000973,-0.000362,0.001294,-587.085022,-326.306030,977.391846
0.025797,-0.202786,-9.653102,-0.004069,-0.000262,0.006520,-587.085022,-326.306030,977.391846
0.004324,-0.181313,-9.674574,-0.001838,-0.002292,0.010681,-587.085022,-326.306030,977.391846
0.054427,-0.038162,-9.581527,-0.002804,0.001004,-0.000072,-587.085022,-326.306030,977.391846
0.032954,-0.081108,-9.617313,-0.001638,0.003034,-0.003168,-587.085022,-326.306030,977.391846
-0.002834,-0.073950,-9.703205,0.000592,0.003999,-0.006264,-587.085022,-326.306030,977.391846
0.018639,-0.102580,-9.624472,0.003688,0.003899,-0.006164,-587.085022,-326.306030,977.391846
0.004324,-0.066793,-9.688890,0.007849,0.000604,-0.001802,-587.085022,-326.306030,977.391846
0.018639,-0.102580,-9.545738,0.007749,-0.000562,0.002559,-593.184570,-318.733856,971.479004
0.018639,-0.145526,-9.602999,0.003388,-0.000462,0.001394,-593.184570,-318.733856,971.479004
